	class_reichweite	class_langstrecke	class_stauraum	class_sitzplaetze_4	class_tag_tag1
tesla-model-y-maximale-reichweite	1	1	1	0	0
tesla-model-y-maximale-reichweite	1	1	1	0	0
tesla-model-y-maximale-reichweite	1	1	1	0	0
tesla-model-y-maximale-reichweite	1	1	1	0	0
tesla-model-y-maximale-reichweite	1	1	1	0	0
tesla-model-y-performance	1	1	1	0	0
tesla-model-y-performance	1	1	1	0	0
tesla-model-y-performance	1	1	1	0	0
tesla-model-y-performance	1	1	1	0	0
tesla-model-y-performance	1	1	1	0	0
toyota-bz4x-awd	1	1	1	1	0
toyota-bz4x-awd	1	1	1	1	0
toyota-bz4x-awd	1	1	1	1	0
toyota-bz4x-fwd	1	1	1	1	0
toyota-bz4x-fwd	1	1	1	1	0
toyota-bz4x-fwd	1	1	1	1	0
volvo-c40-recharge-pure-electric	1	1	1	1	0
volvo-c40-recharge-pure-electric	1	1	1	1	0
volvo-c40-recharge-pure-electric	1	1	1	1	0
volvo-c40-recharge-pure-electric-p8	1	1	1	1	0
volvo-c40-recharge-pure-electric-p8	1	1	1	1	0
volvo-c40-recharge-pure-electric-p8	1	1	1	1	0
volvo-c40-recharge-pure-electric-p8	1	1	1	1	0
VW-e-Golf-Standard	0	0	1	1	0
VW-e-up-Standard	1	0	1	1	0
vw-id3-pro	1	1	1	1	0
vw-id3-pro	1	1	1	1	0
vw-id3-pro-performance	1	1	1	1	0
vw-id3-pro-performance	1	1	1	1	0
vw-id3-pro-s	1	1	1	1	0
vw-id3-pro-s	1	1	1	1	0
vw-id3-pro-s	1	1	1	1	0
vw-id3-pure-performance	1	1	1	1	0
vw-id3-pure-performance	1	1	1	1	0
VW-ID4-GTX	1	1	1	1	0
VW-ID4-GTX	1	1	1	1	0
VW-ID4-GTX	1	1	1	1	0
VW-ID4-GTX	1	1	1	1	0
VW-ID4-pro-performance	1	1	1	1	0
VW-ID4-pro-performance	1	1	1	1	0
VW-ID4-pro-performance	1	1	1	1	0
VW-ID4-pure	1	1	1	1	0
VW-ID4-pure	1	1	1	1	0
VW-ID4-pure	1	1	1	1	0
VW-ID4-pure-performance	1	1	1	1	0
VW-ID4-pure-performance	1	1	1	1	0
VW-ID4-pure-performance	1	1	1	1	0
vw-id5-gtx	1	1	1	1	0
vw-id5-gtx	1	1	1	1	0
vw-id5-gtx	1	1	1	1	0
vw-id5-pro	1	1	1	1	0
vw-id5-pro	1	1	1	1	0
vw-id5-pro	1	1	1	1	0
vw-id5-pro-performance	1	1	1	1	0
vw-id5-pro-performance	1	1	1	1	0
vw-id5-pro-performance	1	1	1	1	0
vw-idbuzz-pro-performance	1	1	1	1	0
vw-idbuzz-pro-performance	1	1	1	1	0
vw-idbuzz-pro-performance	1	1	1	1	0
XC40-Recharge-pure-electric	1	1	1	1	0
XC40-Recharge-pure-electric	1	1	1	1	0
XC40-Recharge-pure-electric	1	1	1	1	0
XC40-recharge-pure-electric-twin	1	1	1	1	0
XC40-recharge-pure-electric-twin	1	1	1	1	0
XC40-recharge-pure-electric-twin	1	1	1	1	0
XC40-recharge-pure-electric-twin	1	1	1	1	0
